player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Alex Sandro,DF,Brazil,31-319,1991,2.1,193,7,45,111,38,0,193,1,2,50.0,1,0,121,4
Alex Telles,DF,Brazil,29-361,1992,0.7,46,0,12,21,14,1,46,0,0,,1,0,32,0
Alexander Bah,DF,Denmark,25-002,1997,0.5,65,1,22,19,24,3,65,0,2,0.0,0,0,36,2
Alexander Djiku,DF,Ghana,28-124,1994,1.1,43,15,33,10,0,0,43,0,0,,0,0,18,0
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,215,0,20,107,90,8,215,2,4,50.0,4,4,164,16
Alexis Vega,FW,Mexico,25-016,1997,2.1,85,1,8,42,35,8,85,1,4,25.0,6,8,50,9
Ali Abdi,DF,Tunisia,28-356,1993,2.1,152,16,66,61,26,3,152,1,2,50.0,5,4,67,11
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,15,1,4,8,3,1,15,0,0,,1,1,5,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,110,7,54,55,1,0,110,0,0,,2,0,65,0
Ali Assadalla,MF,Qatar,29-326,1993,0.3,24,0,5,14,6,0,24,1,1,100.0,0,0,22,0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,86,5,22,35,33,3,86,4,8,50.0,2,2,51,7
Ali Karimi,MF,IR Iran,28-303,1994,1.1,55,2,10,33,12,1,55,0,0,,1,0,36,3
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,70,3,12,28,30,0,70,0,0,,0,1,34,3
Alidu Seidu,DF,Ghana,22-190,2000,1.7,98,3,37,42,22,1,98,4,6,66.7,4,0,49,0
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,34,30,33,1,0,0,34,0,0,,0,0,17,0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,27,0,6,12,9,1,27,1,1,100.0,1,0,13,3
Alisson,GK,Brazil,30-070,1992,4.2,101,88,100,1,0,0,101,0,0,,1,0,42,0
Alistair Johnston,DF,Canada,24-064,1998,3.0,209,8,61,106,44,5,209,1,1,100.0,4,1,121,4
Almoez Ali,FW,Qatar,26-114,1996,2.5,66,1,5,41,20,6,66,0,3,0.0,6,3,48,8
Alphonso Davies,MF,Canada,22-039,2000,3.0,156,3,13,62,87,7,156,11,24,45.8,11,7,94,15
Amadou Onana,MF,Belgium,21-117,2001,1.2,74,0,11,58,6,3,74,1,1,100.0,4,1,59,1
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,159,3,46,82,33,3,159,4,5,80.0,5,5,117,3
Andreas Christensen,DF,Denmark,26-245,1996,3.0,280,25,106,173,4,2,280,0,0,,2,1,217,1
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,48,1,3,15,30,11,48,1,1,100.0,4,1,41,15
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,76,2,7,24,45,13,76,0,2,0.0,4,4,59,19
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,154,0,8,64,84,12,154,3,6,50.0,5,6,127,21
Andries Noppert,GK,Netherlands,28-248,1994,5.3,205,184,203,2,0,0,205,0,0,,0,0,97,0
Andrija Živković,DF,Serbia,26-153,1996,2.3,118,7,34,48,40,3,118,0,1,0.0,4,1,72,4
André Ayew,MF,Ghana,32-359,1989,2.2,61,3,12,31,19,4,60,0,2,0.0,5,4,35,5
André Onana,GK,Cameroon,26-253,1996,0.9,60,34,56,4,0,0,60,0,0,,0,0,32,0
André Silva,FW,Portugal,27-035,1995,0.3,14,0,0,7,7,1,14,0,0,,1,1,12,4
Andrés Guardado,MF,Mexico,36-074,1986,0.5,22,0,6,16,1,0,22,0,0,,0,1,10,0
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,72,1,11,22,40,5,72,0,1,0.0,8,11,47,8
Ansu Fati,FW,Spain,20-041,2002,0.5,33,0,2,8,23,4,33,0,2,0.0,1,0,28,5
Ante Budimir,FW,Croatia,31-142,1991,0.6,12,1,1,5,6,2,12,0,0,,1,1,4,2
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,38,0,3,25,10,2,38,0,0,,3,7,20,1
Antoine Griezmann,MF,France,31-265,1991,4.2,297,4,35,143,124,12,297,3,6,50.0,4,7,202,16
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,6,0,0,2,4,2,6,0,0,,1,1,2,2
Antonee Robinson,DF,United States,25-125,1997,4.0,288,15,70,130,92,3,288,4,5,80.0,13,3,165,13
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,273,22,110,150,14,4,273,0,1,0.0,1,0,215,0
Antony,FW,Brazil,22-290,2000,1.9,145,0,14,53,81,7,145,4,16,25.0,6,6,113,10
António Silva,DF,Portugal,19-042,2003,1.0,67,5,32,35,0,0,67,0,0,,0,0,49,0
Ao Tanaka,MF,Japan,24-092,1998,1.9,84,3,32,39,14,3,84,0,1,0.0,1,1,55,7
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,8,0,1,5,2,0,8,0,1,0.0,0,0,5,0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,39,1,2,24,13,3,39,1,1,100.0,3,1,31,4
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,5,0,2,3,0,0,5,0,0,,0,0,3,0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,5,1,2,2,1,0,5,0,0,,0,0,1,0
Assim Madibo,MF,Qatar,26-050,1996,1.7,85,1,32,53,1,0,85,0,0,,3,2,46,1
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,131,5,38,72,21,2,131,1,1,100.0,1,2,90,0
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,390,6,69,269,55,3,390,0,0,,5,0,319,5
Awer Mabil,MF,Australia,27-087,1995,0.3,18,0,4,13,1,1,18,0,1,0.0,1,0,13,0
Axel Disasi,DF,France,24-275,1998,1.0,90,4,18,48,25,2,90,1,2,50.0,0,1,50,0
Axel Witsel,MF,Belgium,33-333,1989,3.0,200,11,56,131,17,1,200,0,0,,2,3,140,2
Ayase Ueda,FW,Japan,24-092,1998,0.5,23,1,3,6,15,1,23,0,0,,4,2,15,5
Aymeric Laporte,DF,Spain,28-198,1994,3.3,456,29,151,297,8,2,456,0,0,,2,0,391,1
Aziz Behich,DF,Australia,31-360,1990,4.0,249,16,89,111,53,6,249,8,14,57.1,5,5,139,4
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,210,3,63,106,45,4,210,7,9,77.8,13,3,145,7
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,156,9,52,78,28,6,156,1,4,25.0,4,3,92,9
Baba Rahman,DF,Ghana,28-162,1994,2.0,121,4,24,60,37,2,121,1,5,20.0,6,0,68,3
Badr Banoun,DF,Morocco,29-072,1993,0.3,5,3,5,0,0,0,5,0,0,,0,0,0,0
Bailey Wright,DF,Australia,30-136,1992,0.2,5,2,3,1,1,0,5,0,0,,0,0,2,0
Bamba Dieng,FW,Senegal,22-263,2000,1.1,32,0,2,16,14,3,32,0,2,0.0,4,4,22,2
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,197,18,74,88,37,3,197,1,7,14.3,4,3,86,4
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,68,7,34,34,0,0,68,1,1,100.0,0,1,47,0
Ben Davies,DF,Wales,29-231,1993,2.6,184,14,75,95,14,3,184,2,3,66.7,1,0,101,1
Benjamin Pavard,DF,France,26-258,1996,1.0,94,0,20,63,12,0,94,0,0,,0,0,72,0
Bernardo Silva,MF,Portugal,28-123,1994,4.0,309,7,42,168,101,8,309,1,4,25.0,4,4,237,11
Borna Barišić,DF,Croatia,30-031,1992,1.3,81,5,22,41,19,2,81,0,0,,1,0,44,1
Borna Sosa,DF,Croatia,24-324,1998,4.2,294,16,98,120,77,3,294,2,3,66.7,5,2,186,6
Boualem Khoukhi,DF,Qatar,32-155,1990,3.0,232,52,151,77,5,4,232,0,3,0.0,2,1,155,0
Boulaye Dia,FW,Senegal,26-025,1996,3.5,81,3,5,27,51,11,81,1,4,25.0,9,8,56,21
Brandon Aguilera,MF,Costa Rica,19-166,2003,1.0,44,1,17,25,3,0,44,2,3,66.7,1,3,31,3
Breel Embolo,FW,Switzerland,25-300,1997,3.6,92,3,4,44,45,10,92,2,6,33.3,10,10,76,23
Brenden Aaronson,MF,United States,22-050,2000,1.2,78,1,9,39,30,7,78,2,11,18.2,8,4,53,4
Brennan Johnson,FW,Wales,21-202,2001,1.0,33,2,6,6,21,7,33,0,5,0.0,3,2,17,4
Bruno Fernandes,FW,Portugal,28-094,1994,4.0,266,6,34,121,114,8,265,3,6,50.0,7,4,192,18
Bruno Guimarães,MF,Brazil,25-025,1997,0.8,67,2,6,28,33,7,67,2,2,100.0,3,2,53,2
Bruno Petković,FW,Croatia,28-086,1994,1.9,71,1,4,37,31,12,71,1,2,50.0,6,6,60,7
Bryan Mbeumo,FW,Cameroon,23-126,1999,2.6,106,2,13,47,48,4,106,1,7,14.3,6,1,76,11
Bryan Oviedo,DF,Costa Rica,32-296,1990,2.9,112,12,49,42,24,1,112,0,2,0.0,1,0,60,4
Bryan Ruiz,MF,Costa Rica,37-115,1985,0.3,14,1,4,10,0,0,14,1,1,100.0,0,0,9,0
Bukayo Saka,FW,England,21-097,2001,3.2,147,2,17,48,83,15,147,2,11,18.2,3,3,111,23
Callum Wilson,FW,England,30-287,1992,0.5,16,0,2,8,7,2,16,0,1,0.0,4,2,13,6
Cameron Carter-Vickers,DF,United States,24-345,1997,1.0,64,9,33,30,1,0,64,0,0,,0,0,42,0
Carlos Gruezo,MF,Ecuador,27-236,1995,0.5,19,0,6,12,2,0,19,0,0,,3,0,15,0
Carlos Martínez,DF,Costa Rica,23-256,1999,0.5,20,2,9,9,2,0,20,0,0,,1,1,8,0
Carlos Soler,MF,Spain,25-343,1997,1.0,88,0,4,56,29,3,88,1,2,50.0,0,1,74,3
Casemiro,MF,Brazil,30-291,1992,4.3,302,10,58,174,71,5,302,1,3,33.3,1,4,204,7
Celso Borges,MF,Costa Rica,34-198,1988,2.8,143,15,56,83,6,0,143,2,2,100.0,2,0,83,1
Charles De Ketelaere,FW,Belgium,21-276,2001,0.2,6,0,2,2,2,1,6,0,0,,1,1,5,0
Charly Rodríguez,MF,Mexico,25-342,1997,0.4,36,0,3,25,8,0,36,2,2,100.0,1,0,26,1
Cheikhou Kouyaté,MF,Senegal,32-355,1989,0.8,34,4,10,16,8,0,34,1,1,100.0,1,0,18,2
Cho Guesung,FW,Korea Republic,24-320,1998,3.1,88,3,11,33,44,12,88,0,5,0.0,5,5,66,14
Cho Yumin,FW,Korea Republic,26-024,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Chris Mepham,DF,Wales,25-036,1997,3.0,199,22,91,99,9,2,199,0,0,,0,0,130,0
Christian Bassogog,MF,Cameroon,27-054,1995,0.3,13,0,1,2,10,3,13,2,4,50.0,0,0,9,3
Christian Eriksen,MF,Denmark,30-300,1992,3.0,253,1,29,142,88,7,253,0,4,0.0,6,3,176,12
Christian Fassnacht,FW,Switzerland,29-030,1993,0.1,12,0,2,4,8,1,12,2,2,100.0,0,0,7,3
Christian Nørgaard,MF,Denmark,28-276,1994,0.1,15,1,3,10,2,0,15,0,0,,0,0,12,1
Christian Pulisic,FW,United States,24-084,1998,3.5,187,1,18,58,116,23,187,4,15,26.7,12,10,137,19
Christopher Wooh,DF,Cameroon,21-084,2001,1.0,45,8,25,18,2,1,45,0,0,,1,2,28,0
Cody Gakpo,FW,Netherlands,23-218,1999,5.0,205,5,21,70,120,6,205,5,13,38.5,16,9,130,17
Collins Fai,DF,Cameroon,30-120,1992,3.0,169,8,50,84,38,0,169,0,2,0.0,1,0,86,2
Connor Roberts,DF,Wales,27-079,1995,2.2,138,8,39,61,38,0,138,0,0,,0,0,81,7
Craig Goodwin,MF,Australia,30-360,1991,2.6,118,4,22,48,48,4,118,0,0,,2,3,74,8
Cristian Romero,DF,Argentina,24-228,1998,3.7,297,24,120,168,11,3,297,1,1,100.0,5,1,224,1
Cristiano Ronaldo,FW,Portugal,37-309,1985,3.2,116,2,5,58,53,18,115,0,5,0.0,9,5,96,28
Cyle Larin,FW,Canada,27-238,1995,1.5,44,2,4,19,22,7,44,1,4,25.0,5,2,33,7
César Azpilicueta,DF,Spain,33-105,1989,1.5,185,1,25,136,27,0,185,0,0,,1,1,149,0
César Montes,DF,Mexico,25-290,1997,3.0,222,19,99,114,10,3,222,2,2,100.0,2,0,158,1
Daichi Kamada,FW,Japan,26-128,1996,3.6,139,4,20,75,45,4,139,3,4,75.0,4,7,93,14
Daizen Maeda,FW,Japan,25-052,1997,2.0,31,0,4,18,11,7,31,0,1,0.0,2,0,13,5
Daley Blind,DF,Netherlands,32-277,1990,4.7,339,6,65,190,85,9,339,1,2,50.0,2,1,230,8
Damian Szymański,MF,Poland,27-178,1995,0.3,9,0,3,6,0,0,9,0,0,,0,0,8,0
Dani Alves,DF,Brazil,39-219,1983,1.3,113,4,22,60,33,1,113,1,2,50.0,1,2,71,4
Dani Carvajal,DF,Spain,30-334,1992,1.5,137,3,32,82,25,0,137,0,0,,1,0,91,3
Dani Olmo,FW,Spain,24-218,1998,4.1,257,2,17,90,152,18,257,4,19,21.1,11,7,200,40
Daniel Amartey,DF,Ghana,27-355,1994,2.8,172,25,102,67,5,1,172,1,1,100.0,0,1,118,1
Daniel Chacón,MF,Costa Rica,21-244,2001,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,0
Daniel James,FW,Wales,25-031,1997,1.7,49,1,4,23,22,2,49,1,4,25.0,4,1,35,7
Daniel Kyereh,MF,Ghana,26-278,1996,0.4,31,3,9,10,12,0,31,2,2,100.0,1,2,18,2
Danilo,DF,Brazil,31-149,1991,3.1,289,10,69,177,43,1,289,1,1,100.0,2,1,214,8
Danilo Pereira,DF,Portugal,31-093,1991,1.0,87,8,43,44,1,0,87,1,1,100.0,1,1,65,0
Danny Ward,GK,Wales,29-172,1993,1.0,42,32,40,2,0,0,42,0,0,,0,0,20,0
Darko Lazović,DF,Serbia,32-087,1990,0.3,14,0,4,7,3,0,14,0,0,,1,0,8,0
Darwin Núñez,FW,Uruguay,23-170,1999,2.7,85,1,10,30,46,5,85,0,4,0.0,11,6,61,24
David Raum,DF,Germany,24-233,1998,2.7,229,4,49,85,99,6,229,2,4,50.0,5,3,138,13
David Wotherspoon,MF,Canada,32-329,1990,0.2,9,0,1,3,5,0,9,1,1,100.0,0,0,7,0
Davy Klaassen,MF,Netherlands,29-293,1993,2.1,96,2,17,45,34,6,96,0,1,0.0,4,3,65,9
Dayot Upamecano,DF,France,24-045,1998,4.0,319,22,132,187,4,1,319,0,0,,1,1,233,1
DeAndre Yedlin,DF,United States,29-155,1993,0.4,32,2,8,10,14,2,32,0,0,,1,0,15,1
Declan Rice,MF,England,23-331,1999,4.6,362,13,84,247,34,4,362,0,3,0.0,1,2,271,2
Dejan Lovren,DF,Croatia,33-159,1989,5.7,434,46,204,225,7,2,434,0,0,,1,0,316,1
Denis Odoi,DF,Ghana,34-198,1988,0.1,7,5,5,2,0,0,7,0,0,,0,0,1,0
Denis Zakaria,MF,Switzerland,26-021,1996,0.7,32,1,6,21,7,0,32,0,2,0.0,1,1,20,2
Denzel Dumfries,DF,Netherlands,26-237,1996,5.3,274,7,54,132,90,12,274,0,8,0.0,13,7,169,14
Devis Epassy,GK,Cameroon,29-312,1993,2.0,93,78,92,1,0,0,93,0,0,,0,0,32,0
Diego Godín,DF,Uruguay,36-298,1986,1.7,116,5,43,72,1,1,116,0,0,,0,0,78,1
Diogo Costa,GK,Portugal,23-083,1999,5.0,170,156,170,0,0,0,170,0,0,,0,1,87,0
Diogo Dalot,DF,Portugal,23-268,1999,2.9,172,7,45,80,47,5,172,1,3,33.3,2,1,104,6
Djibril Sow,MF,Switzerland,25-308,1997,2.9,115,1,11,72,33,3,115,0,2,0.0,4,2,88,11
Djorkaeff Reasco,FW,Ecuador,23-327,1999,0.3,3,0,1,2,0,0,3,0,0,,1,1,4,2
Dominik Livaković,GK,Croatia,27-336,1995,5.7,175,161,175,0,0,0,175,0,0,,0,0,79,0
Dries Mertens,MF,Belgium,35-219,1987,0.8,39,0,3,16,20,5,39,1,1,100.0,1,0,28,7
Dušan Tadić,MF,Serbia,34-021,1988,2.9,150,1,8,59,85,8,150,3,6,50.0,8,3,114,14
Dušan Vlahović,FW,Serbia,22-317,2000,0.9,19,0,3,8,8,3,19,0,1,0.0,3,1,13,3
Dylan Bronn,DF,Tunisia,27-175,1995,1.8,104,2,40,53,12,1,104,0,0,,0,2,70,1
Eden Hazard,MF,Belgium,31-338,1991,1.4,70,0,9,39,24,2,70,5,10,50.0,5,5,56,4
Ederson,GK,Brazil,29-116,1993,1.0,32,30,32,0,0,0,32,0,0,,0,0,14,0
Edimilson Fernandes,FW,Switzerland,26-240,1996,1.6,95,5,27,37,32,1,95,0,1,0.0,2,3,57,5
Edinson Cavani,FW,Uruguay,35-300,1987,1.4,44,0,3,23,18,5,44,1,1,100.0,3,0,34,5
Edouard Mendy,GK,Senegal,30-285,1992,4.0,128,110,128,0,0,0,128,0,0,,0,0,55,0
Edson Álvarez,MF,Mexico,25-048,1997,1.9,131,1,33,87,12,0,131,1,1,100.0,1,2,72,0
Eduardo Camavinga,DF,France,20-031,2002,1.0,106,9,30,44,33,0,106,0,2,0.0,3,3,62,3
Ehsan Hajsafi,MF,IR Iran,32-289,1990,2.6,118,3,34,57,27,2,118,0,2,0.0,2,1,68,2
Ellyes Skhiri,MF,Tunisia,27-215,1995,3.0,161,8,44,108,10,1,161,1,3,33.3,4,1,94,4
Emiliano Martínez,GK,Argentina,30-100,1992,5.3,132,117,132,0,0,0,132,0,0,,0,0,64,0
Enner Valencia,FW,Ecuador,33-037,1989,2.8,98,2,3,41,55,13,97,2,7,28.6,15,6,71,13
Enzo Ebosse,DF,Cameroon,23-275,1999,1.0,49,9,28,21,1,0,49,0,0,,0,0,29,0
Enzo Fernández,MF,Argentina,21-328,2001,3.9,363,11,64,254,47,4,363,2,3,66.7,4,4,290,2
Eray Cömert,DF,Switzerland,24-310,1998,0.5,50,5,32,19,1,0,50,0,1,0.0,1,0,37,1
Eric Dier,DF,England,28-330,1994,0.4,44,2,22,23,0,0,44,0,0,,0,0,35,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-263,1989,2.8,87,2,9,48,32,9,87,3,8,37.5,7,2,62,7
Erick Gutiérrez,MF,Mexico,27-179,1995,0.5,34,1,5,27,3,0,34,0,1,0.0,0,0,26,1
Ethan Ampadu,MF,Wales,22-088,2000,2.8,178,12,48,108,23,0,178,2,3,66.7,0,3,104,4
Everton Ribeiro,MF,Brazil,33-245,1989,0.4,21,0,2,7,12,3,21,0,1,0.0,0,1,17,5
Exequiel Palacios,MF,Argentina,24-067,1998,0.4,17,1,4,6,7,1,17,0,0,,0,1,9,0
Fabian Frei,MF,Switzerland,33-337,1989,0.3,16,1,7,9,0,0,16,0,0,,0,2,13,1
Fabian Rieder,FW,Switzerland,20-298,2002,0.8,32,1,8,16,10,1,32,1,1,100.0,2,2,19,2
Fabian Schär,DF,Switzerland,30-356,1991,1.5,100,14,50,48,2,1,100,0,0,,1,1,56,0
Fabinho,MF,Brazil,29-049,1993,1.0,63,4,12,45,7,0,63,0,0,,1,0,40,0
Facundo Pellistri,MF,Uruguay,20-356,2001,2.0,66,1,8,16,43,7,66,0,6,0.0,2,3,48,9
Famara Diedhiou,FW,Senegal,29-361,1992,1.0,24,3,4,9,11,5,24,0,1,0.0,2,2,20,0
Federico Valverde,MF,Uruguay,24-142,1998,3.0,225,2,40,144,47,4,225,1,4,25.0,6,2,152,4
Ferjani Sassi,MF,Tunisia,30-268,1992,0.5,39,1,9,26,4,0,39,2,3,66.7,0,0,27,2
Ferrán Torres,FW,Spain,22-285,2000,2.4,115,0,5,38,72,12,114,1,11,9.1,9,7,98,14
Filip Kostić,DF,Serbia,30-040,1992,2.0,130,2,18,57,56,10,130,0,1,0.0,3,1,72,12
Filip Mladenović,DF,Serbia,31-118,1991,0.7,29,1,8,14,7,1,29,0,2,0.0,1,0,14,2
Filip Đuričić,MF,Serbia,30-315,1992,0.2,9,0,0,4,5,1,9,0,0,,1,0,6,2
Firas Al-Buraikan,MF,Saudi Arabia,22-211,2000,3.0,94,7,17,29,49,9,94,1,7,14.3,4,3,63,9
Fodé Ballo-Touré,DF,Senegal,25-342,1997,0.1,10,0,1,7,2,1,10,0,1,0.0,0,0,6,0
Fran Karačić,DF,Australia,26-213,1996,1.0,69,6,24,31,14,1,69,0,0,,1,0,22,0
Francisco Calvo,DF,Costa Rica,30-156,1992,2.0,121,8,76,43,3,0,121,2,2,100.0,4,1,76,0
Fred,MF,Brazil,29-281,1993,1.6,98,4,22,43,33,2,98,0,0,,3,1,67,6
Frenkie de Jong,MF,Netherlands,25-213,1997,5.3,408,13,82,255,75,3,408,3,6,50.0,5,4,303,7
Félix Torres Caicedo,DF,Ecuador,25-334,1997,3.0,233,21,139,90,5,3,233,0,1,0.0,2,0,155,0
Gabriel Jesus,FW,Brazil,25-252,1997,1.0,39,0,0,12,27,6,39,1,2,50.0,2,0,25,4
Garang Kuol,FW,Australia,18-087,2004,0.4,10,0,1,4,5,2,10,0,2,0.0,1,0,7,3
Gareth Bale,FW,Wales,33-148,1989,2.5,68,2,13,30,26,2,67,1,3,33.3,4,4,51,10
Gavi,MF,Spain,18-128,2004,3.2,183,3,13,116,55,6,183,3,7,42.9,8,5,153,18
Gaël Ondoua,MF,Cameroon,27-037,1995,0.5,25,2,3,15,7,1,25,0,0,,0,1,9,0
Georges-Kévin N'Koudou,FW,Cameroon,27-301,1995,0.3,20,0,1,7,12,1,20,0,2,0.0,1,2,12,4
Germán Pezzella,DF,Argentina,31-167,1991,0.6,46,0,10,35,1,1,46,0,0,,0,0,39,0
Gerson Torres,MF,Costa Rica,25-105,1997,0.7,25,0,7,12,6,0,25,0,2,0.0,3,4,22,1
Ghaylène Chaalali,MF,Tunisia,28-286,1994,0.2,11,2,7,4,0,0,11,0,0,,1,1,1,0
Gideon Mensah,DF,Ghana,24-146,1998,1.0,59,6,23,25,11,0,59,0,0,,2,1,29,2
Gio Reyna,FW,United States,20-028,2002,0.6,42,0,0,16,26,5,42,0,0,,1,1,32,4
Giorgian De Arrascaeta,MF,Uruguay,28-193,1994,1.2,69,0,8,24,37,5,69,0,1,0.0,4,4,44,10
Gleison Bremer,DF,Brazil,25-268,1997,1.2,95,12,56,36,4,1,95,0,0,,1,0,68,0
Gonzalo Montiel,DF,Argentina,25-344,1997,1.0,79,1,20,41,19,0,79,0,1,0.0,2,2,56,6
Gonzalo Plata,MF,Ecuador,22-040,2000,3.0,133,0,9,73,52,6,133,4,12,33.3,9,3,85,6
Gonçalo Ramos,FW,Portugal,21-174,2001,1.7,55,2,5,20,30,10,55,0,2,0.0,7,0,39,13
Granit Xhaka,MF,Switzerland,30-075,1992,4.0,273,11,66,171,40,3,273,1,2,50.0,2,3,202,5
Gregor Kobel,GK,Switzerland,25-005,1997,1.0,29,28,29,0,0,0,29,0,0,,0,0,10,0
Grzegorz Krychowiak,MF,Poland,32-316,1990,3.7,165,9,36,107,23,4,165,1,3,33.3,7,0,91,1
Guido Rodríguez,MF,Argentina,28-243,1994,0.6,69,1,23,45,1,0,69,0,0,,0,0,54,0
Guillermo Ochoa,GK,Mexico,37-151,1985,3.0,112,77,112,0,0,0,112,0,0,,0,0,51,0
Guillermo Varela,DF,Uruguay,29-262,1993,2.0,109,2,29,57,23,0,109,0,3,0.0,2,1,66,5
Haji Wright,FW,United States,24-259,1998,1.5,44,2,5,18,21,8,44,0,1,0.0,2,0,31,6
Hakim Ziyech,FW,Morocco,29-267,1993,5.1,232,2,60,95,79,5,232,7,17,41.2,12,7,146,9
Hannibal Mejbri,MF,Tunisia,19-324,2003,0.1,4,1,3,0,1,0,4,0,0,,0,0,1,0
Haris Seferović,FW,Switzerland,30-292,1992,0.8,20,1,3,9,8,1,20,0,0,,2,0,15,2
Harry Kane,FW,England,29-136,1993,4.5,138,7,8,61,71,13,136,4,8,50.0,10,5,110,22
