player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Alfred Gomis,GK,Senegal,29-097,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,
Alfredo Talavera,GK,Mexico,40-084,1982,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ali Abdi,DF,Tunisia,28-356,1993,3,188,63,69.6,2.1,2,90,2,1,8,0,1.33,0,1,-1,-0.48,-1.58,1.8,2.3,-0.4,-0.21,-0.14
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,0,0,0.00,+0.80,0.2,1.0,-0.8,-1.56,-0.66
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,3,216,72,80.0,2.4,3,72,2,0,,0,1.00,2,3,-1,-0.42,+1.25,2.0,4.5,-2.6,-1.06,-0.27
Ali Assadalla,MF,Qatar,29-326,1993,1,27,27,10.0,0.3,0,,0,1,27,2,0.00,0,0,0,0.00,+2.22,0.0,0.0,0.0,+0.06,+0.86
Ali Gholizadeh,MF,IR Iran,26-276,1996,3,199,66,73.7,2.2,2,77,0,1,45,0,1.00,2,4,-2,-0.90,+0.36,2.3,3.0,-0.6,-0.29,+0.11
Ali Karimi,MF,IR Iran,28-303,1994,3,99,33,36.7,1.1,1,45,0,2,27,0,1.00,2,3,-1,-0.91,+0.14,1.1,1.4,-0.3,-0.28,+0.06
Ali Maâloul,DF,Tunisia,32-344,1990,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,0.8,-0.3,-0.30,-0.20
Alidu Seidu,DF,Ghana,22-190,2000,2,155,78,57.4,1.7,2,78,1,0,,1,0.00,0,3,-3,-1.74,-2.52,1.6,3.3,-1.6,-0.95,-1.12
Alireza Beiranvand,GK,IR Iran,30-081,1992,2,109,55,40.4,1.2,2,55,1,0,,0,0.00,0,1,-1,-0.83,+0.29,0.4,1.3,-0.9,-0.71,-0.66
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,2,59,30,21.9,0.7,1,45,0,1,14,0,1.50,2,3,-1,-1.53,-0.67,0.6,1.1,-0.4,-0.62,-0.39
Alisson,GK,Brazil,30-070,1992,4,379,95,79.0,4.2,4,95,3,0,,1,2.50,8,2,+6,+1.42,+2.32,9.2,1.5,+7.7,+1.99,+0.48
Alistair Johnston,DF,Canada,24-064,1998,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Almoez Ali,FW,Qatar,26-114,1996,3,224,75,83.0,2.5,3,75,1,0,,0,0.00,1,7,-6,-2.41,-2.41,1.3,3.5,-2.1,-0.86,-0.88
Alphonse Areola,GK,France,29-287,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Alphonso Davies,MF,Canada,22-039,2000,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Amadou Onana,MF,Belgium,21-117,2001,2,104,52,38.5,1.2,1,59,0,1,45,0,1.50,0,0,0,0.00,+0.54,1.2,0.7,+0.4,+0.36,+0.49
Amir Abedzadeh,GK,IR Iran,29-229,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Anass Zaroury,FW,Morocco,22-034,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,3,260,87,96.3,2.9,3,87,2,0,,0,1.33,4,4,0,0.00,0.00,3.4,5.6,-2.3,-0.78,-0.04
Andreas Christensen,DF,Denmark,26-245,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Andreas Cornelius,FW,Denmark,29-270,1993,3,92,31,34.1,1.0,1,45,0,2,24,0,0.33,0,0,0,0.00,+1.01,1.3,1.0,+0.3,+0.33,+1.10
Andreas Skov Olsen,FW,Denmark,22-347,1999,2,132,66,48.9,1.5,2,66,0,0,,1,0.50,0,1,-1,-0.68,-0.03,0.8,1.4,-0.7,-0.45,-0.11
Andrej Kramarić,FW,Croatia,31-175,1991,5,343,69,67.3,3.8,5,69,0,0,,0,1.40,4,2,+2,+0.52,-0.01,3.9,4.5,-0.6,-0.16,+0.43
Andrew Redmayne,GK,Australia,33-332,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
Andries Noppert,GK,Netherlands,28-248,1994,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29
Andrija Živković,DF,Serbia,26-153,1996,3,210,70,77.8,2.3,3,70,0,0,,0,0.33,5,6,-1,-0.43,+2.57,3.0,5.6,-2.7,-1.14,+0.79
André Ayew,MF,Ghana,32-359,1989,3,198,66,73.3,2.2,3,66,0,0,,0,1.00,4,5,-1,-0.45,+0.80,2.9,4.2,-1.3,-0.58,-0.37
André Onana,GK,Cameroon,26-253,1996,1,80,80,29.6,0.9,1,80,0,0,,0,0.00,0,1,-1,-1.13,-1.60,0.7,1.4,-0.7,-0.70,+0.12
André Silva,FW,Portugal,27-035,1995,1,26,26,5.8,0.3,0,,0,1,26,4,0.00,0,1,-1,-3.46,-4.95,0.1,0.9,-0.8,-2.79,-3.23
Andrés Guardado,MF,Mexico,36-074,1986,1,41,41,15.2,0.5,1,41,0,0,,2,0.00,0,0,0,0.00,+0.39,0.2,0.1,+0.1,+0.23,-0.08
Anis Ben Slimane,MF,Tunisia,21-270,2001,2,148,74,54.8,1.6,2,74,0,0,,1,2.00,1,0,+1,+0.61,+1.35,1.4,0.9,+0.5,+0.29,+1.02
Ansu Fati,FW,Spain,20-041,2002,2,46,23,11.8,0.5,0,,0,2,23,2,0.50,0,0,0,0.00,-1.57,0.6,0.7,0.0,-0.01,-0.68
Ante Budimir,FW,Croatia,31-142,1991,2,55,28,10.8,0.6,0,,0,2,28,3,1.00,1,0,+1,+1.64,+1.24,0.7,0.4,+0.3,+0.57,+0.94
Anthony Contreras,FW,Costa Rica,22-316,2000,3,125,42,46.3,1.4,2,62,0,1,1,0,1.00,0,4,-4,-2.88,-0.40,0.0,3.7,-3.6,-2.61,+0.53
Anthony Hernández,FW,Costa Rica,21-061,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Antoine Griezmann,MF,France,31-265,1991,5,377,75,83.8,4.2,4,90,3,1,18,0,2.40,11,4,+7,+1.67,+2.90,9.3,5.3,+4.1,+0.97,+1.36
Antoine Semenyo,FW,Ghana,22-338,2000,2,20,10,7.4,0.2,0,,0,2,10,1,0.00,0,0,0,0.00,+0.72,0.6,0.2,+0.4,+1.75,+2.41
Antonee Robinson,DF,United States,25-125,1997,4,359,90,99.7,4.0,4,90,3,0,,0,1.25,3,4,-1,-0.25,-0.25,4.0,4.4,-0.4,-0.09,-6.84
Antonio Rüdiger,DF,Germany,29-283,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Antony,FW,Brazil,22-290,2000,4,172,43,35.8,1.9,1,78,0,3,31,1,1.75,2,1,+1,+0.52,-0.65,4.0,0.6,+3.4,+2.14,+0.41
António Silva,DF,Portugal,19-042,2003,1,90,90,20.0,1.0,1,90,1,0,,4,0.00,1,2,-1,-1.00,-2.75,1.3,1.7,-0.4,-0.42,-0.84
Ao Tanaka,MF,Japan,24-092,1998,3,171,57,43.8,1.9,2,78,0,1,15,1,2.33,2,2,0,0.00,-0.41,1.8,3.6,-1.8,-1.01,-1.43
Ardon Jasari,FW,Switzerland,20-134,2002,1,2,2,0.6,0.0,0,,0,1,2,3,0.00,0,1,-1,-45.00,-44.25,0.0,0.1,-0.1,-2.59,-2.69
Arkadiusz Milik,FW,Poland,28-286,1994,3,101,34,28.1,1.1,1,70,0,2,16,1,1.33,2,2,0,0.00,+0.69,1.8,1.9,-0.1,-0.06,+0.86
Armel Bella Kotchap,DF,Germany,21-000,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Arthur Theate,DF,Belgium,22-200,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Artur Jędrzejczyk,DF,Poland,35-037,1987,1,19,19,5.3,0.2,0,,0,1,19,3,0.00,0,0,0,0.00,+0.53,0.0,0.7,-0.7,-3.31,-2.77
Asiri Haitham,FW,Saudi Arabia,21-261,2001,1,2,2,0.7,0.0,0,,0,1,2,2,3.00,0,0,0,0.00,+0.67,0.0,0.1,-0.1,-3.19,-2.19
Assim Madibo,MF,Qatar,26-050,1996,2,153,77,56.7,1.7,2,77,1,0,,1,0.00,1,5,-4,-2.35,-0.81,1.0,2.3,-1.3,-0.76,-0.11
Atiba Hutchinson,MF,Canada,39-306,1983,3,159,53,58.9,1.8,2,64,0,1,31,0,0.00,1,4,-3,-1.70,-0.08,3.2,2.1,+1.1,+0.60,+1.21
Aurélien Tchouaméni,MF,France,22-318,2000,5,411,82,91.3,4.6,5,82,3,0,,0,2.40,9,4,+5,+1.09,-1.21,8.9,4.8,+4.1,+0.90,+1.82
Awer Mabil,MF,Australia,27-087,1995,2,24,12,6.7,0.3,0,,0,2,12,2,1.50,0,0,0,0.00,+0.54,0.0,0.6,-0.6,-2.35,-1.20
Axel Disasi,DF,France,24-275,1998,2,91,46,20.2,1.0,1,90,1,1,1,3,1.50,0,2,-2,-1.98,-3.98,0.8,1.5,-0.7,-0.65,-1.75
Axel Witsel,MF,Belgium,33-333,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Ayase Ueda,FW,Japan,24-092,1998,1,45,45,11.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,-0.03,+0.15
Aymen Mathlouthi,GK,Tunisia,38-088,1984,0,,,,,0,,0,0,,3,,,,,,,,,,,
Aymeric Laporte,DF,Spain,28-198,1994,3,300,100,76.9,3.3,3,100,3,0,,1,1.67,8,1,+7,+2.10,+3.10,5.1,2.0,+3.1,+1.05,+1.36
Ayrton Preciado,MF,Ecuador,28-147,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Aziz Behich,DF,Australia,31-360,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Azzedine Ounahi,MF,Morocco,22-236,2000,5,443,89,92.3,4.9,5,89,1,0,,0,2.20,4,1,+3,+0.61,-1.82,4.0,4.4,-0.4,-0.08,-0.46
Aïssa Laïdouni,MF,Tunisia,25-363,1996,3,243,81,90.0,2.7,3,81,1,0,,0,1.33,1,1,0,0.00,0.00,1.8,2.6,-0.8,-0.28,-1.17
Baba Rahman,DF,Ghana,28-162,1994,3,183,61,67.8,2.0,2,90,2,1,3,0,1.00,2,5,-3,-1.48,-2.51,2.5,4.1,-1.6,-0.79,-0.96
Badr Banoun,DF,Morocco,29-072,1993,2,27,14,5.6,0.3,0,,0,2,14,3,2.00,0,0,0,0.00,-0.79,0.6,0.7,-0.1,-0.41,-0.38
Bailey Wright,DF,Australia,30-136,1992,1,17,17,4.7,0.2,0,,0,1,17,3,3.00,0,0,0,0.00,+0.52,0.0,0.2,-0.2,-0.87,+0.37
Bamba Dieng,FW,Senegal,22-263,2000,4,100,25,27.8,1.1,0,,0,4,25,0,1.50,1,4,-3,-2.70,-3.05,1.2,1.1,0.0,+0.04,-0.30
Bartosz Bereszyński,DF,Poland,30-152,1992,4,341,85,94.7,3.8,4,85,3,0,,0,1.00,3,5,-2,-0.53,-0.53,4.5,6.6,-2.0,-0.54,+2.77
Bassam Al-Rawi,DF,Qatar,24-360,1997,1,90,90,33.3,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23
Bechir Ben Saïd,GK,Tunisia,30-012,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ben Cabango,DF,Wales,22-195,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ben Davies,DF,Wales,29-231,1993,3,238,79,88.1,2.6,3,79,2,0,,0,0.33,1,5,-4,-1.51,+1.30,2.5,3.4,-0.9,-0.34,+2.41
Ben White,DF,England,25-064,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
Benjamin Pavard,DF,France,26-258,1996,1,88,88,19.6,1.0,1,88,0,0,,4,3.00,4,1,+3,+3.07,+2.32,3.7,0.5,+3.2,+3.24,+3.10
Bernardo Silva,MF,Portugal,28-123,1994,5,356,71,79.1,4.0,4,87,2,1,9,0,1.80,10,4,+6,+1.52,+1.52,6.4,5.0,+1.4,+0.36,+0.54
Bilal El Khannous,MF,Morocco,18-215,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
Bilel Ifa,DF,Tunisia,32-277,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
Borna Barišić,DF,Croatia,30-031,1992,1,120,120,23.5,1.3,1,120,1,0,,4,1.00,1,1,0,0.00,-0.69,1.4,1.2,+0.2,+0.24,+0.65
Borna Sosa,DF,Croatia,24-324,1998,4,379,95,74.3,4.2,4,95,3,0,,0,1.50,4,2,+2,+0.47,-0.21,4.3,6.1,-1.9,-0.44,-0.56
Boualem Khoukhi,DF,Qatar,32-155,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Boulaye Dia,FW,Senegal,26-025,1996,4,318,80,88.3,3.5,4,80,1,0,,0,1.50,5,5,0,0.00,+4.29,3.8,3.0,+0.8,+0.22,-0.30
Brandon Aguilera,MF,Costa Rica,19-166,2003,3,90,30,33.3,1.0,1,45,0,2,23,0,1.00,1,4,-3,-3.00,-0.50,0.3,2.5,-2.2,-2.21,+1.04
Breel Embolo,FW,Switzerland,25-300,1997,4,323,81,89.7,3.6,4,81,0,0,,0,1.50,5,7,-2,-0.56,+4.31,5.4,4.8,+0.6,+0.16,+0.79
Brenden Aaronson,MF,United States,22-050,2000,4,108,27,30.0,1.2,0,,0,4,27,0,1.25,1,2,-1,-0.83,-0.83,0.9,2.7,-1.8,-1.51,-2.05
Brennan Johnson,FW,Wales,21-202,2001,3,91,30,33.7,1.0,0,,0,3,30,0,0.33,1,5,-4,-3.96,-3.45,1.4,2.3,-0.9,-0.89,-0.40
Bruno Fernandes,FW,Portugal,28-094,1994,4,356,89,79.1,4.0,4,89,3,0,,1,2.25,10,4,+6,+1.52,+1.52,6.5,4.8,+1.6,+0.41,+0.76
Bruno Guimarães,MF,Brazil,25-025,1997,2,69,35,14.4,0.8,0,,0,2,35,3,1.50,1,1,0,0.00,-1.09,1.8,0.3,+1.5,+1.92,+0.07
Bruno Petković,FW,Croatia,28-086,1994,4,168,42,32.9,1.9,1,61,0,3,36,1,1.50,4,2,+2,+1.07,+0.81,2.6,3.8,-1.3,-0.82,-0.71
Bryan Mbeumo,FW,Cameroon,23-126,1999,3,233,78,86.3,2.6,3,78,1,0,,0,1.33,3,4,-1,-0.39,-2.82,3.1,4.2,-1.0,-0.42,+2.07
Bryan Oviedo,DF,Costa Rica,32-296,1990,3,260,87,96.3,2.9,3,87,1,0,,0,1.00,3,9,-6,-2.08,+15.92,1.4,9.0,-7.5,-2.61,+7.77
Bryan Ruiz,MF,Costa Rica,37-115,1985,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37
Bukayo Saka,FW,England,21-097,2001,4,288,72,64.0,3.2,4,72,0,0,,1,1.75,8,3,+5,+1.56,-0.66,3.9,2.4,+1.5,+0.46,-1.31
Callum Wilson,FW,England,30-287,1992,2,48,24,10.7,0.5,0,,0,2,24,3,3.00,2,1,+1,+1.87,+0.08,1.9,1.2,+0.7,+1.28,+0.40
Cameron Carter-Vickers,DF,United States,24-345,1997,1,90,90,25.0,1.0,1,90,1,0,,3,3.00,1,0,+1,+1.00,+1.67,1.2,0.4,+0.7,+0.75,+1.10
Cameron Devlin,MF,Australia,24-187,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Carlos Gruezo,MF,Ecuador,27-236,1995,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-2.80,0.1,1.6,-1.5,-2.97,-4.03
Carlos Martínez,DF,Costa Rica,23-256,1999,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,3,-3,-6.00,-4.00,0.0,2.5,-2.5,-4.95,-2.46
Carlos Soler,MF,Spain,25-343,1997,2,92,46,23.6,1.0,0,,0,2,46,2,2.00,3,0,+3,+2.93,+2.03,1.6,0.5,+1.1,+1.61,+1.16
Casemiro,MF,Brazil,30-291,1992,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49
Celso Borges,MF,Costa Rica,34-198,1988,3,249,83,92.2,2.8,3,83,1,0,,0,1.00,3,8,-5,-1.81,+11.05,1.4,9.4,-7.9,-2.86,+0.44
Charles De Ketelaere,FW,Belgium,21-276,2001,1,16,16,5.9,0.2,0,,0,1,16,2,0.00,0,1,-1,-5.63,-5.63,0.0,0.4,-0.4,-2.40,-2.60
Charly Rodríguez,MF,Mexico,25-342,1997,2,34,17,12.6,0.4,0,,0,2,17,1,2.00,0,1,-1,-2.65,-2.65,0.5,0.8,-0.3,-0.79,-1.25
Cheikhou Kouyaté,MF,Senegal,32-355,1989,1,72,72,20.0,0.8,1,72,0,0,,0,0.00,0,0,0,0.00,+0.62,0.5,0.3,+0.2,+0.19,-0.08
Cho Guesung,FW,Korea Republic,24-320,1998,4,275,69,76.4,3.1,3,86,1,1,17,0,1.00,5,8,-3,-0.98,-0.98,4.0,6.4,-2.4,-0.79,-0.70
Cho Hyun-woo,GK,Korea Republic,31-077,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cho Yumin,FW,Korea Republic,26-024,1996,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,+0.75,0.0,0.0,0.0,0.00,+0.63
Chris Gunter,DF,Wales,33-143,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Chris Mepham,DF,Wales,25-036,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Christian Bassogog,MF,Cameroon,27-054,1995,1,24,24,8.9,0.3,0,,0,1,24,2,1.00,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.27,-0.54
Christian Eriksen,MF,Denmark,30-300,1992,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Christian Fassnacht,FW,Switzerland,29-030,1993,1,8,8,2.2,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,+1.02,0.2,0.1,+0.1,+1.33,+1.28
Christian Günter,DF,Germany,29-286,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Christian Nørgaard,MF,Denmark,28-276,1994,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,1,-1,-15.00,-14.66,0.0,0.7,-0.7,-10.09,-9.91
Christian Pulisic,FW,United States,24-084,1998,4,315,79,87.5,3.5,4,79,3,0,,0,1.25,3,4,-1,-0.29,-0.29,3.7,3.9,-0.2,-0.05,+0.15
Christopher Wooh,DF,Cameroon,21-084,2001,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,2.5,-2.0,-1.99,-1.80
Cody Gakpo,FW,Netherlands,23-218,1999,5,450,90,93.8,5.0,5,90,0,0,,0,2.20,9,4,+5,+1.00,-2.00,4.4,5.5,-1.1,-0.22,+0.94
Collins Fai,DF,Cameroon,30-120,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,
Connor Roberts,DF,Wales,27-079,1995,3,200,67,74.1,2.2,2,73,1,1,54,0,0.33,1,4,-3,-1.35,+1.22,2.5,3.4,-0.9,-0.41,+0.86
Conor Coady,DF,England,29-289,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Conor Gallagher,MF,England,22-308,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Craig Goodwin,MF,Australia,30-360,1991,4,234,59,65.0,2.6,3,67,0,1,33,0,1.50,3,4,-1,-0.38,+0.33,1.8,5.6,-3.8,-1.46,-0.65
Cristian Roldan,FW,United States,27-191,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
